Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-04-22,37.083,37.891,35.92,36.133,8827500,0.0,0.0
2022-04-25,34.686,34.926,32.823,34.686,10373300,0.0,0.0
2022-04-26,34.793,35.476,34.163,34.278,9979700,0.0,0.0
2022-04-27,34.473,35.796,33.826,35.476,10210200,0.0,0.0
2022-04-28,35.929,37.26,34.544,36.79,7272700,0.0,0.0
2022-04-29,36.87,37.837,36.098,36.328,12974500,0.0,0.0
2022-05-02,35.778,36.479,34.775,36.044,10677800,0.0,0.0
2022-05-03,36.071,38.13,36.018,37.74,9096200,0.0,0.0
2022-05-04,39.036,40.181,37.465,40.118,10228600,0.0,0.0
2022-05-05,39.79,40.163,36.107,36.657,15617200,0.0,0.0
2022-05-06,37.26,39.204,36.506,39.151,9499800,0.0,0.0
2022-05-09,38.281,38.281,33.151,33.311,13347600,0.0,0.0
2022-05-10,33.914,35.041,32.059,33.178,11971800,0.0,0.0
2022-05-11,34.074,36.036,33.772,33.994,10243300,0.0,0.0
2022-05-12,33.621,34.642,32.725,33.754,10293600,0.0,0.0
2022-05-13,34.846,37.207,34.837,36.524,8755200,0.0,0.0
2022-05-16,36.71,38.503,36.621,37.642,9127800,0.0,0.0
2022-05-17,38.05,38.574,37.624,38.29,6472200,0.0,0.0
2022-05-18,38.53,38.592,35.308,35.902,8696400,0.0,0.0
2022-05-19,35.041,37.189,34.908,36.231,7227400,0.0,0.0
2022-05-20,36.462,37.544,35.707,36.976,8298500,0.0,0.0
2022-05-23,37.571,39.382,37.163,39.186,8510500,0.0,0.0
2022-05-24,38.53,39.462,38.228,38.716,7953400,0.0,0.0
2022-05-25,38.618,40.456,38.618,40.429,7895100,0.0,0.0
2022-05-26,40.891,41.618,40.456,40.686,9517700,0.0,0.0
2022-05-27,40.562,42.284,40.402,42.266,9157000,0.0,0.0
2022-05-31,44.139,44.787,41.006,41.725,37978500,0.0,0.0
2022-06-01,42.63,43.465,41.272,42.266,9252600,0.0,0.0
2022-06-02,41.84,42.959,41.539,42.133,6671300,0.0,0.0
2022-06-03,42.071,43.039,41.991,42.87,5009400,0.0,0.0
2022-06-06,43.42,43.553,42.249,43.092,5524300,0.0,0.0
2022-06-07,42.71,46.083,42.657,45.612,10390900,0.0,0.0
2022-06-08,45.932,46.11,45.142,45.417,7689200,0.0,0.0
2022-06-09,44.956,45.826,44.397,44.414,6461800,0.0,0.0
2022-06-10,43.615,44.219,42.355,43.323,6434300,0.0,0.0
2022-06-13,41.246,41.308,38.965,40.447,9843000,0.0,0.0
2022-06-14,41.361,42.302,39.932,40.828,7751900,0.0,0.0
2022-06-15,40.891,41.272,39.364,40.5,7478000,0.0,0.0
2022-06-16,39.098,39.346,36.533,37.065,9135100,0.0,0.0
2022-06-17,37.083,37.136,33.87,34.811,16283100,0.0,0.0
2022-06-21,35.343,36.515,34.651,35.814,9495000,0.0,0.0
2022-06-22,33.399,34.633,33.044,33.284,9695000,0.0,0.0
2022-06-23,33.515,34.118,31.438,32.139,9729200,0.0,0.0
2022-06-24,32.778,33.621,32.183,32.352,9966400,0.0,0.0
2022-06-27,32.991,33.879,32.485,33.257,11187100,0.0,0.0
2022-06-28,34.518,35.37,33.657,34.411,9116600,0.0,0.0
2022-06-29,34.979,35.308,31.891,32.041,8867700,0.0,0.0
2022-06-30,31.154,32.059,30.604,30.976,8202300,0.0,0.0
2022-07-01,31.26,31.704,29.965,31.376,5861200,0.0,0.0
2022-07-05,30.266,30.497,28.509,29.05,8289400,0.0,0.0
2022-07-06,28.544,29.539,27.24,28.411,9824300,0.0,0.0
2022-07-07,29.459,31.092,29.29,30.63,8409400,0.0,0.0
2022-07-08,31.482,31.58,30.293,30.932,7607300,0.0,0.0
2022-07-11,30.337,31.065,29.752,30.364,5910100,0.0,0.0
2022-07-12,29.059,29.689,28.651,28.784,11259600,0.0,0.0
2022-07-13,28.491,29.973,28.154,29.201,8134600,0.0,0.0
2022-07-14,27.808,28.26,27.018,28.03,9817700,0.0,0.0
2022-07-15,28.642,28.882,27.888,28.394,6938400,0.0,0.0
2022-07-18,29.361,29.956,28.882,29.112,6085600,0.0,0.0
2022-07-19,29.112,30.612,28.891,30.479,8108800,0.0,0.0
2022-07-20,30.16,31.154,29.805,31.065,7540100,0.0,0.0
2022-07-21,29.929,30.304,28.905,29.653,6646800,0.125,0.0
2022-07-22,29.635,30.41,28.682,28.869,5329800,0.0,0.0
2022-07-25,29.725,30.838,28.985,30.669,7567200,0.0,0.0
2022-07-26,31.168,31.399,29.466,30.143,6634600,0.0,0.0
2022-07-27,30.295,31.488,29.644,31.346,7023000,0.0,0.0
2022-07-28,31.711,32.334,30.918,31.729,6664500,0.0,0.0
2022-07-29,32.539,33.35,32.272,33.109,7681800,0.0,0.0
2022-08-01,32.281,32.415,31.266,32.076,7217200,0.0,0.0
2022-08-02,32.023,32.459,31.328,32.005,5119800,0.0,0.0
2022-08-03,32.254,32.37,30.09,30.669,8401600,0.0,0.0
2022-08-04,29.502,30.161,27.168,27.328,12166800,0.0,0.0
2022-08-05,26.981,29.092,26.856,28.282,8250100,0.0,0.0
2022-08-08,28.094,29.137,27.988,28.691,7015100,0.0,0.0
2022-08-09,29.306,30.099,28.932,29.11,6347400,0.0,0.0
2022-08-10,29.413,30.001,28.397,29.591,5988100,0.0,0.0
2022-08-11,30.286,31.168,30.241,31.034,7353500,0.0,0.0
2022-08-12,30.731,31.257,30.277,30.909,6904700,0.0,0.0
2022-08-15,29.315,30.268,28.834,29.903,5921600,0.0,0.0
2022-08-16,30.419,30.811,29.395,29.591,6611300,0.0,0.0
2022-08-17,29.431,30.241,29.217,29.956,6803000,0.0,0.0
2022-08-18,30.553,32.584,30.553,32.513,8864800,0.0,0.0
2022-08-19,32.032,32.94,31.764,32.201,9014900,0.0,0.0
2022-08-22,31.693,32.833,30.713,32.771,8267100,0.0,0.0
2022-08-23,33.733,35.568,33.528,34.552,9826800,0.0,0.0
2022-08-24,34.784,36.245,34.561,35.906,10305400,0.0,0.0
2022-08-25,36.067,36.468,35.158,35.987,6662300,0.0,0.0
2022-08-26,36.04,36.797,35.399,35.791,6616500,0.0,0.0
2022-08-29,35.568,37.982,35.416,36.842,9132000,0.0,0.0
2022-08-30,35.844,36.209,34.544,35.025,10661000,0.0,0.0
2022-08-31,34.0,35.853,33.697,34.837,8810800,0.0,0.0
2022-09-01,34.214,34.241,32.789,33.777,7941600,0.0,0.0
2022-09-02,35.212,35.612,34.258,34.561,7531000,0.0,0.0
2022-09-06,34.686,35.087,33.537,33.688,6038700,0.0,0.0
2022-09-07,32.593,32.931,32.085,32.664,6496000,0.0,0.0
2022-09-08,32.824,33.484,32.673,32.896,7890200,0.0,0.0
2022-09-09,33.991,34.107,33.225,33.929,6043600,0.0,0.0
2022-09-12,35.399,36.316,34.748,35.63,9459100,0.0,0.0
2022-09-13,35.327,36.307,34.454,34.837,7741400,0.0,0.0
2022-09-14,35.345,37.608,35.274,37.18,8571900,0.0,0.0
2022-09-15,36.86,37.928,36.601,36.957,9221600,0.0,0.0
2022-09-16,36.833,36.86,34.811,36.04,12193300,0.0,0.0
2022-09-19,34.82,36.441,34.748,36.031,6049600,0.0,0.0
2022-09-20,35.862,35.889,34.642,35.274,6625400,0.0,0.0
2022-09-21,35.844,36.227,34.205,34.232,5803800,0.0,0.0
2022-09-22,34.766,35.212,33.047,33.056,7355900,0.0,0.0
2022-09-23,31.203,31.337,28.62,29.279,17295100,0.0,0.0
2022-09-26,29.386,30.063,28.353,28.362,10152000,0.0,0.0
2022-09-27,29.244,29.76,28.486,29.11,10516700,0.0,0.0
2022-09-28,29.342,31.034,29.288,30.883,10422700,0.0,0.0
2022-09-29,30.535,31.212,29.618,31.132,9094300,0.0,0.0
2022-09-30,30.41,31.239,30.081,30.455,7705300,0.0,0.0
2022-10-03,32.023,33.305,31.898,33.225,12897200,0.0,0.0
2022-10-04,34.41,35.149,33.795,34.882,10280200,0.0,0.0
2022-10-05,34.829,36.459,34.374,36.093,11925400,0.0,0.0
2022-10-06,35.8,37.732,35.71,37.59,8897800,0.0,0.0
2022-10-07,37.554,38.935,37.349,37.875,10920100,0.0,0.0
2022-10-10,37.643,38.534,36.548,36.672,10050700,0.0,0.0
2022-10-11,35.719,37.002,35.506,36.058,7325300,0.0,0.0
2022-10-12,35.719,36.77,34.793,36.298,7373700,0.0,0.0
2022-10-13,35.452,37.634,35.381,37.287,10394200,0.0,0.0
2022-10-14,36.788,37.572,35.336,35.568,7625000,0.0,0.0
2022-10-17,35.951,37.216,35.399,35.719,7270300,0.0,0.0
2022-10-18,35.942,36.476,34.713,35.47,7240600,0.0,0.0
2022-10-19,35.586,37.358,35.47,37.332,7881900,0.0,0.0
2022-10-20,37.816,38.649,37.0,37.197,7131500,0.25,0.0
2022-10-21,37.556,38.712,37.197,38.703,8542500,0.0,0.0
2022-10-24,38.801,39.805,38.497,39.213,7901100,0.0,0.0
2022-10-25,39.231,40.683,38.864,40.504,8117800,0.0,0.0
2022-10-26,40.71,42.197,40.54,41.292,8074400,0.0,0.0
2022-10-27,42.35,42.565,40.844,40.979,8040800,0.0,0.0
2022-10-28,41.49,41.624,39.464,40.719,7177100,0.0,0.0
2022-10-31,40.19,41.516,39.518,40.737,5944300,0.0,0.0
2022-11-01,41.606,41.731,40.916,41.033,5803900,0.0,0.0
2022-11-02,40.782,41.167,39.437,39.644,7690800,0.0,0.0
2022-11-03,38.667,42.905,38.559,42.377,9835000,0.0,0.0
2022-11-04,43.792,45.002,42.717,43.9,8846700,0.0,0.0
2022-11-07,44.034,45.325,43.918,44.357,6503200,0.0,0.0
2022-11-08,44.025,44.509,42.959,43.945,6744700,0.0,0.0
2022-11-09,43.031,43.228,40.558,40.817,7833200,0.0,0.0
2022-11-10,41.857,42.457,40.889,42.117,6225700,0.0,0.0
2022-11-11,43.282,44.178,43.103,43.694,5962700,0.0,0.0
2022-11-14,43.201,43.864,42.278,42.305,5478600,0.0,0.0
2022-11-15,42.52,44.106,41.696,43.945,5814400,0.0,0.0
2022-11-16,43.085,43.649,42.475,42.502,5831800,0.0,0.0
2022-11-17,41.534,42.135,40.808,42.063,5377900,0.0,0.0
2022-11-18,40.701,41.705,39.715,41.525,6158800,0.0,0.0
2022-11-21,40.549,40.835,38.568,40.567,7778300,0.0,0.0
2022-11-22,41.373,42.95,40.979,42.816,5732300,0.0,0.0
2022-11-23,41.938,42.816,41.507,41.92,5235200,0.0,0.0
2022-11-25,42.296,42.296,41.31,41.606,2876300,0.0,0.0
2022-11-28,40.172,40.755,39.204,40.289,7228500,0.0,0.0
2022-11-29,41.131,42.153,41.068,41.749,7090500,0.0,0.0
2022-11-30,42.538,42.699,41.221,41.982,9011400,0.0,0.0
2022-12-01,42.565,43.085,41.651,41.866,5264900,0.0,0.0
2022-12-02,41.391,42.457,41.391,42.215,4617600,0.0,0.0
2022-12-05,43.076,43.506,40.531,40.961,5896700,0.0,0.0
2022-12-06,40.378,41.4,39.052,39.312,5685200,0.0,0.0
2022-12-07,39.518,40.02,38.712,39.124,5982400,0.0,0.0
2022-12-08,40.504,40.665,38.273,38.326,6398100,0.0,0.0
2022-12-09,38.308,39.034,37.421,37.511,6800200,0.0,0.0
2022-12-12,37.905,39.751,37.789,39.348,8562800,0.0,0.0
2022-12-13,40.656,41.355,40.083,41.068,9658800,0.0,0.0
2022-12-14,41.579,41.821,39.599,40.36,7552000,0.0,0.0
2022-12-15,39.975,40.504,39.366,40.369,7323700,0.0,0.0
2022-12-16,39.249,39.805,38.362,39.24,12120400,0.0,0.0
2022-12-19,39.455,40.047,38.756,39.285,5010500,0.0,0.0
2022-12-20,39.142,39.832,38.954,39.545,4370500,0.0,0.0
2022-12-21,40.71,41.83,40.459,41.821,4595400,0.0,0.0
2022-12-22,41.821,41.955,38.936,40.047,5337000,0.0,0.0
2022-12-23,40.764,42.395,40.45,42.341,5330800,0.0,0.0
2022-12-27,42.78,43.138,42.413,42.69,4505500,0.0,0.0
2022-12-28,42.565,42.645,40.36,40.486,5001700,0.0,0.0
2022-12-29,39.966,41.409,39.742,41.14,4534000,0.0,0.0
2022-12-30,40.737,41.839,40.701,41.83,4752600,0.0,0.0
2023-01-03,41.122,41.534,38.55,39.088,6169000,0.0,0.0
2023-01-04,38.004,38.81,37.493,37.771,9034500,0.0,0.0
2023-01-05,37.538,38.004,37.063,37.421,7019000,0.0,0.0
2023-01-06,38.12,38.819,37.583,38.434,5763400,0.0,0.0
2023-01-09,39.482,39.832,38.801,38.864,5737000,0.0,0.0
2023-01-10,38.631,38.864,37.636,38.747,5161700,0.0,0.0
2023-01-11,39.204,39.599,38.461,39.267,4860100,0.0,0.0
2023-01-12,39.518,41.346,39.42,40.638,5573300,0.0,0.0
2023-01-13,40.477,40.773,39.679,40.629,3488400,0.0,0.0
2023-01-17,41.167,41.355,40.065,40.45,4279300,0.0,0.0
2023-01-18,40.719,41.409,39.446,39.482,5408700,0.0,0.0
2023-01-19,39.124,40.62,38.855,40.468,5662400,0.0,0.0
2023-01-20,40.423,41.081,39.648,40.63,5058200,0.25,0.0
2023-01-23,41.162,41.432,40.612,40.873,3885800,0.0,0.0
2023-01-24,40.468,40.522,39.387,39.702,5032200,0.0,0.0
2023-01-25,39.531,39.819,38.513,39.729,5276100,0.0,0.0
2023-01-26,40.378,40.9,39.333,40.873,4429400,0.0,0.0
2023-01-27,40.937,42.333,40.937,41.207,5272600,0.0,0.0
2023-01-30,40.522,41.144,39.756,39.792,4942200,0.0,0.0
2023-01-31,39.594,40.234,39.008,39.945,4097500,0.0,0.0
2023-02-01,39.612,39.684,37.603,39.107,6591700,0.0,0.0
2023-02-02,38.891,39.035,37.63,38.17,5477000,0.0,0.0
2023-02-03,38.368,39.197,37.765,37.882,5467900,0.0,0.0
2023-02-06,37.963,38.404,37.26,37.864,7520600,0.0,0.0
2023-02-07,38.134,39.423,37.404,39.369,5262300,0.0,0.0
2023-02-08,39.558,39.657,37.702,37.954,5606400,0.0,0.0
2023-02-09,38.008,38.278,36.936,36.99,5385100,0.0,0.0
2023-02-10,37.738,39.324,37.666,39.251,7832500,0.0,0.0
