Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-08-02,275.455,278.482,274.619,274.847,2388300,0.0,0.0
2023-08-03,274.069,276.413,273.927,276.176,1910700,0.0,0.0
2023-08-04,277.495,277.884,272.133,272.38,2520500,0.0,0.0
2023-08-07,273.196,276.536,273.177,276.536,2176800,0.0,0.0
2023-08-08,276.204,276.726,273.822,274.809,1948400,0.0,0.0
2023-08-09,274.259,274.942,273.196,273.528,1895800,0.0,0.0
2023-08-10,274.079,275.559,272.152,272.93,2436300,0.0,0.0
2023-08-11,272.598,274.221,272.133,273.898,1761800,0.0,0.0
2023-08-14,274.06,275.065,272.949,274.078,1712400,0.0,0.0
2023-08-15,273.262,274.335,272.475,273.595,1883800,0.0,0.0
2023-08-16,272.902,274.145,270.491,270.842,1829400,0.0,0.0
2023-08-17,271.554,271.924,267.407,267.483,2148400,0.0,0.0
2023-08-18,267.35,269.267,266.003,267.369,2624500,0.0,0.0
2023-08-21,267.331,267.891,264.465,265.756,2682600,0.0,0.0
2023-08-22,266.439,266.496,264.854,266.012,2052300,0.0,0.0
2023-08-23,267.635,268.707,266.335,267.493,2308800,0.0,0.0
2023-08-24,267.369,270.226,267.369,267.948,2006400,0.0,0.0
2023-08-25,270.235,271.545,269.049,270.064,3725200,0.0,0.0
2023-08-28,270.064,271.602,269.049,269.21,2317600,0.0,0.0
2023-08-29,269.466,270.055,266.126,269.125,2348500,0.0,0.0
2023-08-30,269.324,271.393,268.84,269.742,2410700,0.0,0.0
2023-08-31,270.209,270.772,267.986,268.244,2979800,1.52,0.0
2023-09-01,269.57,270.142,266.316,268.043,2136400,0.0,0.0
2023-09-05,268.101,268.711,266.25,266.345,2410300,0.0,0.0
2023-09-06,265.238,265.858,262.376,262.796,2705800,0.0,0.0
2023-09-07,264.523,266.183,263.425,265.553,3732800,0.0,0.0
2023-09-08,265.315,267.48,265.095,266.402,2351300,0.0,0.0
2023-09-11,266.851,267.271,265.773,266.918,2433200,0.0,0.0
2023-09-12,266.66,268.578,264.943,267.824,1450200,0.0,0.0
2023-09-13,268.74,269.904,267.728,268.835,1724300,0.0,0.0
2023-09-14,270.324,272.489,269.599,271.688,2219700,0.0,0.0
2023-09-15,270.829,270.829,264.981,265.458,5730700,0.0,0.0
2023-09-18,265.925,267.404,264.217,264.971,2884800,0.0,0.0
2023-09-19,263.75,265.486,263.75,265.362,2128100,0.0,0.0
2023-09-20,265.944,267.404,264.418,264.475,1979300,0.0,0.0
2023-09-21,264.227,264.466,258.579,258.77,2370100,0.0,0.0
2023-09-22,258.941,261.078,258.397,259.724,1958300,0.0,0.0
2023-09-25,258.035,259.285,256.566,257.396,1895500,0.0,0.0
2023-09-26,256.48,256.938,254.343,255.43,2251600,0.0,0.0
2023-09-27,255.43,255.64,250.25,251.538,2735000,0.0,0.0
2023-09-28,252.1,254.085,251.051,253.398,2182400,0.0,0.0
2023-09-29,254.886,255.096,249.734,251.347,3367100,0.0,0.0
2023-10-02,249.973,250.04,245.641,245.918,4425000,0.0,0.0
2023-10-03,245.403,246.443,242.216,242.808,3408100,0.0,0.0
2023-10-04,243.609,244.487,242.35,244.067,2820000,0.0,0.0
2023-10-05,244.248,246.013,240.031,240.651,3799600,0.0,0.0
